company,field,before,after
4intelligence,description,4intelligence is consulting firm that specializes in providing_. data analytics and 4intelligence-data- science,is consulting firm that specializes in providing_. data analytics and 4intelligence-data- science
4intelligence,company_address,"Alameda Santos; 2400; Alameda Santos, 2400, Jardim Paulista ,","Alameda Santos; 2400; Alameda Santos, 2400, Jardim Paulista"
6a5x,growth_metrics,41% | 41% | ~1% | 41% | ~1% | 5% | I1% | 56 %,41% | ~1% | 5% | 1% | 56 %
ABM Cloud,growth_metrics,~1% | 4% | 10% | 8% | 9% | ~1%,~1% | 4% | 10% | 8% | 9%
AdAdapted,description,AdAdapted is that specializes in providing marketing_ mobile advertising company adadapted com (USA) arladapted,is that specializes in providing marketing_ mobile advertising company adadapted com (USA) arladapted
AdAdapted,growth_metrics,0% | 0% | 5% | 5% | 7% | 40% | 136 % | -14%,0% | 5% | 7% | 40% | 136 % | -14%
Aeb,description,AEB is a software company specializing in global trade ad logistics solutions They_ Stuttgart arb,is a software company specializing in global trade ad logistics solutions They_ Stuttgart arb
Aeb,company_address,"Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567,",Sigmaringer StraBe 109; Stuttgart; Baden-Wirttemberg 70567
Aforza,growth_metrics,1% | 11% | 11% | 11% | 4% | 55% | 204% | 40%,1% | 11% | 4% | 55% | 204% | 40%
Afresh,description,Afresh is that specializes in software solutions for_ grocery retail technology provider afresh com (USA) alreshtechnologies,is that specializes in software solutions for_ grocery retail technology provider afresh com (USA) alreshtechnologies
AfterShip,growth_metrics,3% | 2% | 2 % | 3% | 23% | 91% | 251% | 520%,3% | 2% | 2 % | 23% | 91% | 251% | 520%
Agrim,description,Agrim Wholesale Private Limited is a BZB marketplace specializing in agri-inputs. The_ agrim app acirimwpl,Wholesale Private Limited is a BZB marketplace specializing in agri-inputs. The_ agrim app acirimwpl
Agrivi,description,AGRIVI is in digital agriculture solutions technology company specializing offers a . London agirivi,is in digital agriculture solutions technology company specializing offers a . London agirivi
Agrivi,growth_metrics,2% | -7% | -2% | 2% | ~25% | ~34% | ~2% | 5% | 332%,2% | -7% | -2% | ~25% | ~34% | ~2% | 5% | 332%
Alleaves,growth_metrics,13% | 23% | 8 % | 23% | 188 % | 136 % | ~87%,13% | 23% | 8 % | 188 % | 136 % | ~87%
Alloy.ai,description,provides data integration and analytics _ Alloy.ai is white-collar service company that alloy.ai San Francisco alloy-inc,provides data integration and analytics _ is white-collar service company that San Francisco alloy-inc
Alvys,description,Alvys is a software company that specializes in transportation management solutions. It.. alvys com Solana Beach alvysinc,is a software company that specializes in transportation management solutions. It.. alvys com Solana Beach alvysinc
Alvys,growth_metrics,"-10% | ~6% | 6% | 17% | 67% | 103% | 1,575% | ~20%",-10% | ~6% | 6% | 17% | 67% | 103% | 575% | ~20%
Ambition,growth_metrics,F1% | -1% | -4% | 4% | -4% | 4% | ~22% | -22% | ~40% | 40% | 13% | -24%,1% | -1% | -4% | 4% | ~22% | -22% | ~40% | 40% | 13% | -24%
Apicbase,growth_metrics,-4% | ~9% | 9% | -16% | -16 % | 9% | ~27% | 17% | 51%,-4% | ~9% | 9% | -16% | -16 % | ~27% | 17% | 51%
ArchiPro,description,customers with ArchiPro is digital platform that connects wide range products an: archipro.co.nz New Zealand Auckland Auckland archipro,customers with ArchiPro is digital platform that connects wide range products an: .nz New Zealand Auckland Auckland archipro
ARZERENRTIRA,company,ARZERENRTIRA],ARZERENRTIRA
ARZERENRTIRA,growth_metrics,-1% | 40% | 30% | 30% | ~25% | -40% | -22% | 222%,-1% | 40% | 30% | ~25% | -40% | -22% | 222%
autone,growth_metrics,5 % | 27% | 151% | 420% | '500% | -2%,5 % | 27% | 151% | 420% | 500% | -2%
Betterworks,description,Betterworks is a performance management software provider that offers intelligent_. betterworks com (USA) #tterworks,is a performance management software provider that offers intelligent_. betterworks com (USA) #tterworks
Betterworks,growth_metrics,6% | 7% | ~2% | 2% | 0% | ~2% | 43% | 66% | 2%,6% | 7% | ~2% | 2% | 0% | 43% | 66%
BeyondTrucks,description,BeyondTrucks is specializes in providing transportation . software company that beyondtrucks com San Francisco halulistix,is specializes in providing transportation . software company that beyondtrucks com San Francisco halulistix
Bijak,company_address,"Rd, Gurugram, Haryana 122003; Gurgaon,","Rd, Gurugram, Haryana 122003; Gurgaon"
Bijak,growth_metrics,~9% | 9% | ~9% | -9% | 9% | -16 % | -16% | 1% | 75% | 75 % | 791%,~9% | 9% | -9% | -16 % | -16% | 1% | 75% | 75 % | 791%
bijnis,description,Bijnis is a digital platform that focuses on revolutionizing the manufacturing sector by__ ~bijnis.com bijnisdotcom,is a digital platform that focuses on revolutionizing the manufacturing sector by__ ~ bijnisdotcom
bijnis,growth_metrics,"3% | 6% | 6 % | 11% | ""15% | 65% | 255% | 595% | 16 %",3% | 6% | 6 % | 11% | 15% | 65% | 255% | 595% | 16 %
Builder Prime,growth_metrics,"10% | 13% | 57% | 477% | 1,633% | '500% | 17%",10% | 13% | 57% | 477% | 633% | 500% | 17%
Burq,description,Burq is a delivery service company that provides on-demand and same-day delivery__ burqup com San Francisco bulrq,is a delivery service company that provides on-demand and same-day delivery__ burqup com San Francisco bulrq
Burq,growth_metrics,"5% | 8% | 8 % | 61% | 182% | 393% | 1,028%",5% | 8% | 8 % | 61% | 182% | 393% | 028%
BuyCo,description,BuyCo is in container shipping solutions. logistics platform that specializes offers a . Marseille buyco4shipping,is in container shipping solutions. logistics platform that specializes offers a . Marseille buyco4shipping
byrd,description,Byrd [ commerce fulfillment services. logistics company specializing offers _ getbyrd com,[ commerce fulfillment services. logistics company specializing offers _ getbyrd com
byrd,growth_metrics,-7% | ~4% | 4% | -7% | -29% | ~37% | 65% | 200%,-7% | ~4% | 4% | -29% | ~37% | 65% | 200%
Calendly,growth_metrics,~5% | -14% | -14% | ~14% | -19% | 6% | 100% | 253% | 4%,~5% | -14% | ~14% | -19% | 6% | 100% | 253% | 4%
Canibuild,description,canibuild innovative innovative site planning solutions for__. canibuild is cme software company that provides planning solutions fon ' canibuild com verumtek,innovative innovative site planning solutions for__. canibuild is cme software company that provides planning solutions fon ' canibuild com verumtek
CartonCloud,growth_metrics,1% | 3% | 3% | 10% | 44% | 116 % | 209% | 11%,1% | 3% | 10% | 44% | 116 % | 209% | 11%
Cascade,description,Cascade = offers ~offers comprehensive platform for strateg_ comprehensive platform for strateg .. strategy software company that cascade app ciiscade-strategy caiscade-strategy,= offers ~offers comprehensive platform for strateg_ comprehensive platform for strateg .. strategy software company that cascade app ciiscade-strategy caiscade-strategy
CBX Soitware,description,software provider that offers TradeBeyond supply chain management ~suite of__ cbxsoftware com Hong Kong SAR nia xsoftware,software provider that offers TradeBeyond supply chain management ~suite of__ cbxsoftware com Hong Kong SAR xsoftware
Chain.io,description,specializes Chain.io is a logistics software provider that integration solutions for the. chain.io Philadelphia Jain.io,specializes is a logistics software provider that integration solutions for the. Philadelphia Jain.io
ChapsVision,description,"specializes in data analysis and customer_ ChapsVision is software company that chapsvision.fr 501- -1,000 641 France ile-De-France Suresnes chiapsvision","specializes in data analysis and customer_ ChapsVision is software company that 501- -1,000 641 France ile-De-France Suresnes chiapsvision"
ChapsVision,growth_metrics,"105% | 137% | 161% | 262% | 416 % | 1,426 % | 7,912% | -32%",105% | 137% | 161% | 262% | 416 % | 426 % | 912% | -32%
ClimateAi,growth_metrics,6% | 6% | ~31% | ~33% | -15% | 37% | 218 % | 69%,6% | ~31% | ~33% | -15% | 37% | 218 % | 69%
CloudCart,description,CloudCart is an eCommerce platform that provides comprehensive solutions for_ cloudcart com Bulgaria Sofia City Sofia cloudcart-Ilc,is an eCommerce platform that provides comprehensive solutions for_ cloudcart com Bulgaria Sofia City Sofia cloudcart-Ilc
Company,headcount,"""201-500",
Company,growth_metrics,4% | 7% | 4% | 7% | 49% | 93% | 132% | -5%,4% | 7% | 49% | 93% | 132% | -5%
Company,company_address,York;,York
Corevist,description,Corevist; Inc. is a B2B software company that specializes providing integrated. corevist com Raleigh ctrevist,Inc. is a B2B software company that specializes providing integrated. corevist com Raleigh ctrevist
Corevist,company_address,7474 Creedmoor Road; #108;,7474 Creedmoor Road; #108
Corevist,growth_metrics,5% | 2% | 2 % | 2% | -10% | -26% | 332% | -26% | ~48%,5% | 2% | 2 % | -10% | -26% | 332% | ~48%
Cradle Technology Services (Pty) Ltd,description,solutions provider specializing in barcoding_. Cradle Technology Services technology cradle.co.za South Africa Western Cape Cape Town cradle-technology- services-pty-Itd,solutions provider specializing in barcoding_. Cradle Technology Services technology .za South Africa Western Cape Cape Town cradle-technology- services-pty-Itd
Cradle Technology Services (Pty) Ltd,company_address,"Olive Grove Business Park; Old Paardevlei Road,",Olive Grove Business Park; Old Paardevlei Road
Cradle Technology Services (Pty) Ltd,growth_metrics,-4% | -4% | 4% | ~4% | -4% | 11%,-4% | 4% | ~4% | 11%
CSEMREENRTJRA,company,CSEMREENRTJRA],CSEMREENRTJRA
Curri,description,Curri is a logistics company specializing in last-mile delivery services for construction_. curri com Ventura cuirri,is a logistics company specializing in last-mile delivery services for construction_. curri com Ventura cuirri
Curri,growth_metrics,"7% | 11% | 21% | 43% | 46% | 276% | 1,261% | 16 %",7% | 11% | 21% | 43% | 46% | 276% | 261% | 16 %
dataplor,description,dataplor is a location intelligence provider that offers comprehensive data solutions to _. dataplor com (USA) diltaplor,is a location intelligence provider that offers comprehensive data solutions to _. dataplor com (USA) diltaplor
Deck Commerce,growth_metrics,"-4% | -12% | -10% | 18 % | ~24% | 18 % | 46% | 1,148%",-4% | -12% | -10% | 18 % | ~24% | 46% | 148%
Deskera,description,Deskera is = offers integrated solutions for accounting;_ business software provider that Minneapolis duiskera,is = offers integrated solutions for accounting;_ business software provider that Minneapolis duiskera
Diginex,description,Diginex is Diginex is a sustainability software provider that specializes in ESG reporting and supply_ sustainability software provider diginex - solutions com S.A.R Hong Kong diginex-solutions - esig,is Diginex is a sustainability software provider that specializes in ESG reporting and supply_ sustainability software provider diginex - solutions com S.A.R Hong Kong diginex-solutions - esig
Distru,description,Distru is : cannabis ERP solutions: It offers a_ software company specializing in distru com Oakland distru,is : cannabis ERP solutions: It offers a_ software company specializing in distru com Oakland distru
Distru,growth_metrics,13% | 25% | 40% | 59% | 25% | 96% | 180% | -28%,13% | 25% | 40% | 59% | 96% | 180% | -28%
dolado,description,Dolado provider that connects sellers and industries_ digital marketplace and logistics dolado.com br crimpredolado,provider that connects sellers and industries_ digital marketplace and logistics br crimpredolado
Dropit,description,Dropit is offers omnichannel fulfillment solutions and_ retail technology provider that dropit shop diopit-shopping,is offers omnichannel fulfillment solutions and_ retail technology provider that dropit shop diopit-shopping
Dropit,growth_metrics,-2% | 3% | -10% | ~25% | -19% | -23% | ~25%,-2% | 3% | -10% | ~25% | -19% | -23%
Eaenu#IaEiXTRA,company,Eaenu#IaEiXTRA],Eaenu#IaEiXTRA
Eaenu#IaEiXTRA,growth_metrics,-6% | ~6% | 6 % | -6% | ~6 % | 6 % | 6 % | ~21% | 221% | ~21%,-6% | ~6% | 6 % | ~6 % | ~21% | 221%
Earri#WEE TRA,company,Earri#WEE TRA],Earri#WEE TRA
Earri#WEE TRA,growth_metrics,1% | 1% | -9% | ~34% | 30%,1% | -9% | ~34% | 30%
EASANTJRRA,company,EASANTJRRA],EASANTJRRA
EaswiaaXTRA,company,EaswiaaXTRA],EaswiaaXTRA
EaswiaaXTRA,description,Shanghai Laoqin Information Technology Co Ltd. is a labor management software provide coho.com.cn %e4%b8%8a%e6_,Shanghai Laoqin Information Technology Co Ltd. is a labor management software provide .cn %e4%b8%8a%e6_
EaswiaaXTRA,company_address,6041;,6041
Easyecom,company_address,"BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL,","BLOOMINGDALE LAYOUT, OPPOSITE QUETZEL"
ecoplanet,description,EcoPlanet Green Operations GmbH is an energy management company that offers. ecoplanet tech ecoplanet-green- operations,Green Operations GmbH is an energy management company that offers. ecoplanet tech ecoplanet-green- operations
Eden,description,Eden is provider that offers solutions for desk:_ workplace management software edenworkplace com San Francisco eclen-inc -,is provider that offers solutions for desk:_ workplace management software edenworkplace com San Francisco eclen-inc -
Engage3,description,Engage3 F that provides innovative software solutions pricing intelligence company Davis eligage3,F that provides innovative software solutions pricing intelligence company Davis eligage3
Enode,growth_metrics,"3% | 7%/ | 7% | 20% | 66 % | 252% | 650% | 1,900% | 45%",3% | 7% | 20% | 66 % | 252% | 650% | 900% | 45%
enVista,description,enVista is a consulting firm specializing in supply chain strategy and enterprise _ envistacorp com (USA) erivista,is a consulting firm specializing in supply chain strategy and enterprise _ envistacorp com (USA) erivista
enVista,growth_metrics,0% | 1% | 4% | -17% | -36 % | ~27%/ | 18 % | 5%,0% | 1% | 4% | -17% | -36 % | ~27% | 18 % | 5%
ENXMIETRXTRA&,growth_metrics,~8 % | -8% | -11% | -17% | ~32% | -17%,~8 % | -8% | -11% | -17% | ~32%
Epic Gardening,description,Epic Gardening is a gardening supply retailer that offers wide range of products includin__. epicgardening com Broomfield ejiic-gardening,is a gardening supply retailer that offers wide range of products includin__. epicgardening com Broomfield ejiic-gardening
Epic Gardening,growth_metrics,"7%/ | 4% | 24% | 94% | 323% | 1,340% | 3,500% | -10%",7% | 4% | 24% | 94% | 323% | 340% | 500% | -10%
Epost Plus,growth_metrics,4% | 4% | -8 % | -26 % | 4% | 4%,4% | -8 % | -26 %
eSUB Construction Software,growth_metrics,-2% | -2% | 2% | ~8 % | -8% | -44% | 50% | ~39% | ~53% | 63%,-2% | 2% | ~8 % | -8% | -44% | 50% | ~39% | ~53% | 63%
Eturnity AG,description,Eturnity AG is specializing in renewable energy solutions. software company eturnity ch jurnity-ag,is specializing in renewable energy solutions. software company eturnity ch jurnity-ag
Eupry,description,Eupry is temperature compliance solutions for__ company that specializes in eupry com elpry-aps,is temperature compliance solutions for__ company that specializes in eupry com elpry-aps
Eupry,company_address,"~Hejrevej 28; 1; Copenhagen N, Capital Region of Denmark 2400,","~Hejrevej 28; 1; Copenhagen N, Capital Region of Denmark 2400"
EXA Kehu,growth_metrics,-3% | 3% | 6 % | 6 % | 3%,-3% | 3% | 6 %
EXA@#t WRTJRA&,description,specializing in retail technology solutions_ Burgeon Technology is a software company burgeon.cn e4%b8%8a%e6_,specializing in retail technology solutions_ Burgeon Technology is a software company e4%b8%8a%e6_
EXA@#t WRTJRA&,growth_metrics,~1% | ~1% | 5% | 6 % | 16 % | 96%,~1% | 5% | 6 % | 16 % | 96%
Explorate,description,Explorate is in freight forwarding and supply chain_. logistics company specializing exploratehq,is in freight forwarding and supply chain_. logistics company specializing exploratehq
Explorate,growth_metrics,~1% | -5% | 5% | -11% | 9% | 5% | 175% | 400%,~1% | -5% | 5% | -11% | 9% | 175% | 400%
Fergus,description,Fergus is ~provider that offers solutions for trades. job management software New Zealand Auckland Auckland fergus-software - lirnited,is ~provider that offers solutions for trades. job management software New Zealand Auckland Auckland fergus-software - lirnited
Fergus,growth_metrics,-8 % | 6 % | -12% | -12% | 10% | 30% | 23%,-8 % | 6 % | -12% | 10% | 30% | 23%
Food Market Hub,description,Food Market Hub is provides procurement and inventory_. software company that Malaysia Kuala Lumpur Petaling Jaya fcodmarkethub,is provides procurement and inventory_. software company that Malaysia Kuala Lumpur Petaling Jaya fcodmarkethub
Foyr,description,Foyr i that provides innovative tools for interior __. an interior design software company foyr com fcyr,i that provides innovative tools for interior __. an interior design software company foyr com fcyr
